ID,SITIO,BAIRRO,REGIONAL,MACROZONA,MICROZONA,SCN,STATUS,FINALIDADE,ENDERECO,VIA_SENTIDO,DESCRICAO,DATA_ATIVACAO,DATA_DESATIVACAO,FISCALIZACAO,FAIXAS_VIA,FXSTRAFDIR,FAIXAS_FIS,TEMCONTAGE,INFVELOCID,LONG,LAT
588,AT500,Aldeota,SR 2,ALDEOTA SUL,BENI DE CARVALHO,00335:F,Ativo,Fiscalização,"Rua Beni de Carvalho, 265 [L-O]",R. Beni de Carvalho [L-O],Meio de quadra,20161101,,Não-metrológico,2,1,1,S,N,"-38,498193","-3,744971"
531,AT504,Aldeota,SR 2,,,00503:N,Ativo,Fiscalização,"Rua Padre Valdevino, 2648 [L-O]",R. Padre Valdevino [L-O],Meio de quadra,20160501,,Não-metrológico,2,1,1,S,N,"-38,502254","-3,743631"
44,1385166,Aldeota,SR 2,Corredor,Aldeota Leste,00104:B,Inativo,Fiscalização,Av. Padre Antônio Tomás x Av. Desembargador Moreira [L-O],Av. Padre Antônio Tomás [L-O],Cruzamento,20130218,20201211,Misto,2,2,2,S,S,"-38,499493","-3,740187"
324,1385249,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00069:H,Ativo,Fiscalização,"Av. Santos Dumont, 2772 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140901,,Não-metrológico,4,1,1,S,N,"-38,499902","-3,735787"
413,1385250,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00069:H,Inativo,Fiscalização,"Av. Santos Dumont, 2874 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140901,20190614,Não-metrológico,4,1,1,S,N,"-38,498818","-3,736137"
197,1385135,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00069:G,Inativo,Fiscalização,Av. Desembargador Moreira x Av. Santos Dumont [S-N],Av. Desembargador Moreira [S-N],Cruzamento,20130812,20140427,Misto,2,2,3,S,S,"-38,498389","-3,736348"
628,1385143,Aldeota,SR 2,,,00084:A,Inativo,Fiscalização,Av. Senador Virgílio Távora x Av. Santos Dumont [N-S],Av. Sen. Virgílio Távora [N-S],Cruzamento,20131003,20140427,Misto,2,2,3,S,S,"-38,493469","-3,73769"
333,1385238,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00069:H,Inativo,Fiscalização,Av. Santos Dumont x Av. Desembargador Moreira [O-L],Av. Santos Dumont [O-L],Cruzamento,20140818,20190617,Misto,4,4,4,S,S,"-38,498636","-3,736147"
349,1385239,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00069:E,Inativo,Fiscalização,Av. Desembargador Moreira x Av. Santos Dumont [N-S],Av. Desembargador Moreira [N-S],Cruzamento,20151114,20200304,Misto,2,2,2,S,S,"-38,498386","-3,736106"
627,1385142,Aldeota,SR 2,,,00084:D,Inativo,Fiscalização,Av. Santos Dumont x Av. Senador Virgílio Távora [O-L],Av. Santos Dumont [O-L],Cruzamento,20131003,20140427,Misto,2,2,3,S,S,"-38,493605","-3,737779"
553,VM002,Aldeota,SR 2,,,00069:E,Inativo,Videomonitoramento,Av. Desembargador Moreira x Av. Santos Dumont [N/D],Av. Desembargador Moreira [N/D],Cruzamento,,20190219,Não-metrológico,,0,0,N,N,"-38,498333","-3,736062"
39,1385198,Aldeota,SR 2,Corredor,Aldeota Leste,00105:G,Inativo,Fiscalização,Av. Senador Virgílio Távora x Av. Padre Antônio Tomás [S-N],Av. Sen. Virgílio Távora [S-N],Cruzamento,20130226,20160202,Misto,2,2,3,S,S,"-38,494744","-3,741908"
198,1385138,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00069:F,Inativo,Fiscalização,Av. Santos Dumont x Av. Desembargador Moreira [L-O],Av. Santos Dumont [L-O],Cruzamento,20130813,20140427,Misto,2,2,3,S,S,"-38,498292","-3,73621"
323,1385251,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00211:D,Ativo,Fiscalização,"Av. Santos Dumont, 3030 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140815,,Não-metrológico,4,1,1,S,N,"-38,497831","-3,736464"
508,1385801,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00069:E,Inativo,Coleta de Dados,"Av. Desembargador Moreira, entre Av. Santos Dumont e Rua Maria Tomásia [S-N]",Av. Desembargador Moreira [S-N],Meio de quadra,,20170123,Não-metrológico,2,2,2,S,N,"-38,498105","-3,735591"
322,1385252,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00185:H,Ativo,Fiscalização,"Av. Santos Dumont, 3130 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140815,,Não-metrológico,4,1,1,S,N,"-38,496983","-3,736738"
321,1385253,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00185:F,Ativo,Fiscalização,"Av. Santos Dumont, 3210 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140815,,Não-metrológico,4,1,1,S,N,"-38,495918","-3,737083"
320,1385254,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00084:D,Ativo,Fiscalização,"Av. Santos Dumont, 3384 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140815,,Não-metrológico,4,1,1,S,N,"-38,494942","-3,7374"
330,1385255,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00084:D,Ativo,Fiscalização,"Av. Santos Dumont, 3456 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140815,,Não-metrológico,4,1,1,S,N,"-38,493956","-3,737724"
201,1385141,Aldeota,SR 2,Corredor,Aldeota Leste,00084:C,Inativo,Fiscalização,Av. Senador Virgílio Távora x Av. Santos Dumont [S-N],Av. Sen. Virgílio Távora [S-N],Cruzamento,20130829,20140427,Misto,2,2,3,S,S,"-38,493478","-3,737928"
328,1385240,Aldeota,SR 2,Zona Aldeota,Aldeota Leste,00084:D,Inativo,Fiscalização,Av. Santos Dumont x Av. Sen. Virgílio Távora [O-L],Av. Santos Dumont [O-L],Cruzamento,20140904,20170123,Misto,4,4,4,S,S,"-38,493561","-3,737791"
350,1385241,Aldeota,SR 2,Corredor,Aldeota Leste,00084:A,Ativo,Fiscalização,Av. Senador Virgílio Távora x Av. Santos Dumont [N-S],Av. Sen. Virgílio Távora [N-S],Cruzamento,20141127,,Misto,2,2,2,S,S,"-38,49348","-3,737728"
202,1385144,Aldeota,SR 2,Corredor,Aldeota Leste,00084:B,Inativo,Fiscalização,Av. Santos Dumont x Av. Senador Virgílio Távora [L-O],Av. Santos Dumont [L-O],Cruzamento,20130829,20140427,Misto,2,2,3,S,S,"-38,493377","-3,737816"
329,1385256,Aldeota,SR 2,Corredor,Aldeota Leste,00033:H,Ativo,Fiscalização,"Av. Santos Dumont, 3601 - Oposto [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140815,,Não-metrológico,4,1,1,S,N,"-38,493031","-3,738022"
317,1385257,Aldeota,SR 2,Corredor,Aldeota Leste,00033:H,Ativo,Fiscalização,"Av. Santos Dumont, 3610 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140930,,Não-metrológico,4,1,1,S,N,"-38,492078","-3,738331"
316,1385258,Aldeota,SR 2,Corredor,Aldeota Leste,00033:F,Ativo,Fiscalização,"Av. Santos Dumont, 3646 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140930,,Não-metrológico,4,1,1,S,N,"-38,491094","-3,738651"
319,1385259,Aldeota,SR 2,Corredor,Aldeota Leste,00033:F,Ativo,Fiscalização,"Av. Santos Dumont, 3850 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140930,,Não-metrológico,4,1,1,S,N,"-38,490138","-3,738949"
38,1385218,Aldeota,SR 2,Corredor,Aldeota Leste,00475:L,Inativo,Fiscalização,Av. Padre Antônio Tomás x Av. Almirante Henrique Sabóia [O-L],Av. Padre Antônio Tomás [O-L],Cruzamento,20130123,20150528,Misto,2,2,3,S,S,"-38,489711","-3,743462"
318,1385260,Aldeota,SR 2,Corredor,Aldeota Leste,00190:D,Inativo,Fiscalização,"Av. Santos Dumont, 3870 [O-L]",Av. Santos Dumont [O-L],Meio de quadra,20140930,20141203,Não-metrológico,4,1,1,S,N,"-38,489386","-3,739197"
