;ITEM;TIPO;DISTRITO;INEP;UNIDADE ESCOLAR;ENDEREÇO;BAIRRO;CEP;lat;lon
395;58;CEI;I;_;CEI RACHEL DE QUEIROZ;TRAV. AURÉLIO LAVÔR, 99;BARRA DO CEARÁ;60312180;-3.706498874214712;-38.57083385743705
396;60;CEI;I;_;CEI TERTULIANO CAMBRAIA;RUA MONSENHOR ROSA, 947;CARLITO PAMPLONA;60310440;-3.712855643032653;-38.55512092207664
397;61;CEI;I;_;CEI VIRGILIO TAVORA;AV. MONSENHOR HÉLIO CAMPOS, S/N;CRISTO REDENTOR;60336800;-3.705455218255224;-38.56477107806176
398;62;CEI;I;_;CEI VILA DO MAR;RUA DR. JOSÉ ROBERTO SALES, S/N;BARRA DO CEARÁ;60332810;-3.6951254282168735;-38.58098452531775
399;63;CEI;I;_;CEI JOAO MARCAL MESQUITA;RUA ROCHA POMBO, S/N;FLORESTA;60336200;-3.720939282443229;-38.57074362837857
400;64;CEI;I;_;CEI MARISTELA DA FROTA CAVALCANTE;AV. L, 1000;VILA VELHA;60348540;-3.713939447754041;-38.600365313980895
401;70;CRP;I;_;CRECHE ARPOADOR;RUA GRITO DE ALERTA, 136;BARRA DO CEARÁ;60332070;-3.703475354101259;-38.57011770762975
402;74;CRP;I;_;CRECHE SONHO INFANTIL 2;RUA RINCÃO, 79;FLORESTA;60340420;-3.723815969994205;-38.5783230879243
403;75;CRP;I;_;CRECHE PEQUENO POLEGAR;RUA MOACIR, 45;BARRA DO CEARÁ;60332650;-3.702089196863634;-38.57890403763339
404;76;CRP;I;_;CRECHE OLHAR DO SABER - VÓ FRANCY;RUA PAULO XENOFONTE, 1037;VILA VELHA;60345156;-3.720112741361439;-38.60468759710149
405;82;EMTP;II;23547995;ESCOLA MUNICIPAL DOM ALOISIO LORSCHEIDER;RUA JULIO SILVA, 400;PRAIA DO FUTURO I;60177385;-3.7462549953471154;-38.45639996624385
406;93;EMTP;II;23198818;ESCOLA MUNICIPAL MARIA FELICIO LOPES;RUA JOSÉ SETUBAL PESSOA, 480;CAIS DO PORTO;60180560;-3.721532655750252;-38.47123555767877
407;98;EMTP;II;23325216;ESCOLA MUNICIPAL PROFESSOR MANUEL EDUARDO PINHEIRO CAMPOS;RUA MIRIÚ, 500;EDSON QUEIROZ;60836050;-3.791118091637984;-38.4455425327954
408;100;EMTP;II;23064854;ESCOLA MUNICIPAL PROFESSORA AIDA SANTOS E SILVA;AV. TRAJANO DE MEDEIROS, 813;VICENTE PINZÓN;60182185;-3.728171931239184;-38.46550580707351
409;105;EMTP;II;23073608;ESCOLA MUNICIPAL PROFESSORA MARIA GONDIM DOS SANTOS;TRAV. GUARANI, 620;PAPICU;60175790;-3.737611866652502;-38.477844671539934
410;108;EMTP;II;23078596;ESCOLA MUNICIPAL WASHINGTON SOARES;RUA DO CORRENTE, 400;EDSON QUEIROZ;60812290;-3.778090508693716;-38.47710460942668
411;109;EMTP;II;23274034;ESCOLA MUNICIPAL JOHNSON;RUA DOUTORA SOCORRO AZEVEDO, 461;ENGENHEIRO LUCIANO CAVALCANTE;60810400;-3.767879218028972;-38.49422493250907
412;111;EMTI;II;23069317;ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA ANTONIETA CALS;RUA MONSENHOR SALAZAR, 1480;TAUAPE;60130731;-3.755427437720592;-38.506188596834505
413;113;EMTI;II;23279621;ESCOLA MUNICIPAL DE TEMPO INTEGRAL VEREADOR ALBERTO GOMES DE QUEIROZ;AV. ZEZÉ DIOGO, S/N;CAIS DO PORTO;60180012;-3.716029453965804;-38.46518912057465
414;117;CEI;II;_;CEI DOM ALOISIO LORSCHEIDER;AV. SENADOR CARLOS JEREISSATI, 395;PRAIA DO FUTURO I;60182425;-3.743973580734779;-38.454322310983656
415;121;CEI;II;_;CEI MARIA FELICIO LOPES;RUA JOSÉ SETUBAL PESSOA, 480;CAIS DO PORTO;60180560;-3.721532655750252;-38.47123555767877
416;123;CEI;II;_;CEI WILMA MARIA DE VASCONCELOS LEOPÉRCIO;RUA DR. FRANCISCO MATOS, S/N;PAPICU;60176135;-3.7438399422111135;-38.469142005170944
417;124;CEI;II;_;CEI PROFESSOR FRANCISCO MAURICIO DE MATTOS DOURADO;RUA B, 50 (LOTEAMENTO PARQUE AMARALINA);EDSON QUEIROZ;60813020;-3.782968042625501;-38.46917108988166
418;125;CEI;II;_;CEI PROFESSOR MANUEL EDUARDO PINHEIRO CAMPOS;RUA MIRIÚ, 500;EDSON QUEIROZ;60836050;-3.791118091637984;-38.4455425327954
419;128;CEI;II;_;CEI PROFESSORA MARIA ODNILRA CRUZ MOREIRA;RUA VITÓRIA DA CONQUISTA, 1441;MANUEL DIAS BRANCO;60191670;-3.757010936707566;-38.468870764158375
420;129;CEI;II;_;CEI PADRE JOSE NILSON;RUA AÍDA BALAIO, 100;VICENTE PINZÓN;60181274;-3.727107291914111;-38.47829446125695
421;130;CEI;II;_;CEI SAO VICENTE DE PAULO;TRAV. DO ROSÁRIO, 24;ALDEOTA;60135310;-3.744797419037235;-38.49682647380668
422;131;CEI;II;_;CEI ANTONIA AGOSTINHO DE SOUSA;RUA TUIUIÚ, S/N;EDSON QUEIROZ;60812566;-3.7722446102788014;-38.4706086302207
423;132;CEI;II;_;CEI DEPUTADO EDSON QUEIROZ FILHO;RUA JAIME ALMEIDA, S/N;EDSON QUEIROZ;60812740;-3.7742199999160206;-38.4685600122756
424;133;CEI;II;_;CEI RACHEL GUIMARAES MARTINS BARBOSA;VIA LOCAL LESTE OESTE 02, S/N;CAIS DO PORTO;60180754;-3.714463167916829;-38.47222819355371
425;135;CEI;II;_;CEI ESMERINDA SOARES DA SILVA;RUA AURISTELA MAIA FARIAS, S/N;ENGENHEIRO LUCIANO CAVALCANTE;60811100;-3.774609988916019;-38.48483502794284
426;136;CEI;II;_;CEI MARIA FERREIRA DIAS;AV. ZEZÉ DIOGO, S/N;CAIS DO PORTO;60180012;-3.716029453965804;-38.46518912057465
427;142;CRP;II;_;CRECHE CASA DE AFONSO E MARIA;RUA DOS ESTAFETAS, 10;VICENTE PINZÓN;60182105;-3.728209275840124;-38.46737347357689
428;145;CAEE;II;23251433;CENTRO DE INTEGRAÇAO PSICO-SOCIAL DO CEARÁ;RUA OLIVEIRA FILHO, 3320;PRAIA DO FUTURO I;60183600;-3.746963056617878;-38.454234292010895
429;154;EMTP;III;23074140;ESCOLA MUNICIPAL PROFESSOR MARTINZ DE AGUIAR;RUA BERNARDO PORTO, 470;MONTE CASTELO;60320570;-3.722027565223172;-38.55726648986212
430;157;EMTP;III;23257695;ESCOLA MUNICIPAL SANTA LUZIA;RUA CORONEL FRANCISCO BENTO, 16;DOM LUSTOSA;60526328;-3.7500166677637066;-38.59088412420399
431;160;EMTP;III;23065680;ESCOLA MUNICIPAL AUTRAN NUNES;RUA VIRGÍLIO BRANDÃO, S/N;AUTRAN NUNES;60526640;-3.753775283396785;-38.5964064205683
432;165;EMTP;III;23067764;ESCOLA MUNICIPAL DONA DAGMAR GENTIL;RUA VITÓRIA, 1740;JOÃO XXIII;60525455;-3.767092828664041;-38.58962483082154
433;167;EMTP;III;23072245;ESCOLA MUNICIPAL JOSE BONIFACIO DE SOUSA;RUA PERNAMBUCO, 600;PICI;60440140;-3.757954008842973;-38.57154348503081
434;172;EMTP;III;23075058;ESCOLA MUNICIPAL NARCISA BORGES;TRAV. COSTA RICA, S/N;PADRE ANDRADE;60360490;-3.739024996170322;-38.57985500645816
